,Standard deviation welfare distribution,Total transfer needed,Transfer from Global North to Global South
Baseline solution,0.014860381631968093,,
Fair tax,1.6809755263014875e-08,229495.7958085761,197221.88169281275
Polluter pay,0.006364867086274878,263109.3676349612,226260.55237534363
