col_country,GDP,Welfare change
ARG,459335.16655242955,1.0170314381853327
AUS,1331982.498859634,0.998602811665453
AUT,447420.0206451941,1.0110995325829109
BEL,605664.8355996921,1.005854183179515
BGR,60262.922177778746,1.0206028683236537
BRA,1646847.1467761942,1.0170678960753683
BRN,12519.803254113229,0.9840864601313642
CAN,1633477.1025285658,1.0007953440864754
CHE,732063.8997844902,1.0133586266092396
CHL,297361.20789719804,1.0186676255904197
CHN,13523701.88976274,1.0035833389123592
COL,308558.9308452174,1.0262118466809402
CRI,59755.88031798705,1.0246745275628153
CYP,22692.486626623773,1.0097329360358058
CZE,234492.08188736648,1.011412289176239
DEU,3902993.5351032265,1.0100538543390156
DNK,335939.640106795,1.0077529569118284
ESP,1392920.9791836243,1.0130860883930162
EST,28218.17824885311,0.9934359892710102
FIN,262496.2229831184,1.0071618707145458
FRA,2713268.2592686126,1.0071851722436578
GBR,2766894.9371058038,1.0025890868741227
GRC,202945.53601542063,1.0127678939899725
HRV,56951.9171128865,1.0136157732217153
HUN,146550.00251773084,1.0078481102880916
IDN,943648.8904855823,0.9861432090426376
IND,2575405.0856086393,1.053213021008689
IRL,382869.89334507514,1.026733796370845
ISL,25188.551504637933,1.003869824962237
ISR,360980.01969667466,1.0184016603763397
ITA,2045262.6614970108,1.0116008401363865
JPN,4999051.217928134,1.0056685464963238
KAZ,157161.48256349444,0.9861399845767604
KHM,22382.825547450528,0.9638095206826657
KOR,1697613.592486324,1.0140047717459946
LAO,15459.191093654892,0.979807228707334
LTU,50625.65351616305,1.0153341569670116
LVA,32534.62013053423,1.0071663253087926
MAR,108881.66973369899,1.0212824717203894
MEX,1169742.746329313,1.0316691467277654
MLT,14352.841047940741,1.1815753657896386
MMR,60112.84088796342,0.9519667405219452
NLD,896449.1407538146,1.0132616478725216
NOR,415816.3549198804,1.0025431003698486
NZL,196202.20221635932,1.0023043876967166
PER,214004.49969890178,1.0212956484827966
PHL,318277.22554178623,1.0166099006699894
POL,552535.0467646313,1.004209774861936
PRT,230038.88211731042,1.0073993155925867
ROU,233269.303469917,1.0076344648543976
ROW,5457696.20700214,0.9734234756747944
RUS,1443610.2600194737,0.9856063139958213
SAU,732739.5027502013,1.039014600045632
SGP,714036.4052802956,1.020278629089789
SVK,102889.22465145813,1.0103072769653196
SVN,51737.454342182056,1.0102392152506212
SWE,538393.6938488337,1.0083721075682266
THA,482660.46949054435,1.025395966682222
TUN,36646.81758421853,1.0344635795411958
TUR,737100.5939788936,1.0351974699781936
TWN,587324.0119954975,1.4803731318071598
USA,20631906.75644938,1.0072524114102375
VNM,224198.79555760438,1.0006481248279007
ZAF,317632.2370791937,1.0016044607090397
