country,sector,step (tC02perM$),total (tC02perM$),counterfactual (tC02perM$),change (%),output (M$),counterfactual output (M$),sector name
ARG,01T02,3751.921661829102,4868.553037241259,4524.60826532073,-7.064620007003626,55102.686125704335,35552.702674936365,Agriculture
ARG,03,77.53830445054238,263.745302490648,226.2848991976265,-14.203249475637506,2914.68844465323,2923.7654811394623,Fishing
ARG,05T06,1321.9888855212714,1769.467083048022,1694.248694852166,-4.250906327473885,27522.787702446847,21916.268954488954,"Mining, energy"
ARG,07T08,51.0274228793103,284.09145114564274,236.83301647577173,-16.63493726379096,4926.994900177776,4988.593901211093,"Mining, non-energy"
ARG,10T12,53.31957134995618,1947.6036536463175,1353.0380088085055,-30.528061688766186,79483.00957230938,78147.96672913725,Food products
ARG,13T15,242.4411759132503,906.8573470498424,725.9269861403294,-19.95135855690087,9697.197644517402,9416.932235432785,Textiles
ARG,16,63.17202136576737,555.289097629524,435.53155264754497,-21.566702010396483,2088.94348079074,2150.6639882033055,Wood
ARG,17T18,57.80887207182833,418.6036403535088,339.6342041841849,-18.86496641611491,10655.803822544944,11070.901295656216,Paper
ARG,19,350.2614826862572,1610.3624938889138,1408.9895724588569,-12.504819392791205,17616.546446206958,16344.555847036985,Coke
ARG,20,212.99346130289223,760.8932755466642,648.3576591247119,-14.78993441505986,19263.312309692417,19447.596658817714,Chemicals
ARG,21,48.96662423432576,343.5964193004446,284.786833674944,-17.115890132160203,7801.232083550836,8133.926694489234,Pharmaceuticals
ARG,22,418.6694546048519,947.6860399865743,835.2468939506103,-11.86459874807872,8510.293647676845,8238.676408089266,Plastics
ARG,23,1330.3533419387888,1812.7965566471182,1719.0842550385407,-5.16948806334365,6769.692476492745,6068.7144686106785,Non-metallic minerals
ARG,24,650.8251788549235,1297.4206775530865,1195.1361949499765,-7.883679085184369,12856.668218064133,12583.953603036747,Basic metals
ARG,25,11.656195331475006,522.9090897461194,415.8133921851902,-20.480748883697146,6863.30296679033,7313.020328492973,Fabricated metals
ARG,26,3.421308204874821,463.45426014986543,367.21951623494306,-20.76466917874555,4968.859565407671,5189.332832287046,Electronic
ARG,27,4.944064347915937,547.2653452624027,450.7466133075335,-17.636551042454627,3236.2038343502654,3417.768593908719,Electrical equipment
ARG,28,8.118601409229045,424.5368042392685,335.2918083241179,-21.02173357503588,9484.392214706848,9926.559605922237,Machinery
ARG,29T30,9.18853699208809,520.2874374469142,419.1962016455562,-19.42988212389281,17304.16932934035,17542.56307371814,Transport equipments
ARG,31T33,335.84980188900914,666.9834239283834,595.9018255211179,-10.657176154185493,3808.249976049356,3906.86135685257,Manufacturing nec
ARG,35,1700.5360466842865,2597.784225031021,2416.37141294273,-6.983367222738622,24888.622668436547,21082.873634643638,Energy
ARG,36T39,50.80757072072782,315.766589464978,260.11317769885795,-17.6248576077719,5943.996056414363,6008.793781748657,Water supply
ARG,41T43,10.424179370049233,383.03261808671476,311.11275458730927,-18.77643315565453,39715.35650945392,40545.40351435363,Construction
ARG,45T47,31.496280556873074,163.83524119938036,137.15616970173778,-16.28408595265246,95312.84160932164,96059.83298246184,"Wholesale, retail"
ARG,49,365.7019161369675,651.2090737387327,599.7250329546811,-7.905915758893002,32493.67716068904,31344.786145192596,Land transport
ARG,50,1461.007927397783,1759.6914641110218,1704.0278091597763,-3.1632622017272922,1296.365313618403,1162.5193653702931,Water transport
ARG,51,1220.0664522803304,1819.5565244351894,1706.9832359029695,-6.186853061196558,2936.7252851705707,2640.7019496728035,Air transport
ARG,52,106.03864189457032,477.2186026073756,401.7810100424826,-15.80776444018008,8977.859231227543,8855.728882450068,Warehousing
ARG,53,51.5925691393973,266.0687238478697,226.8008597889929,-14.758541887594816,1376.1671726051482,1426.7096427210467,Post
ARG,55T56,11.951498743234568,572.2833604858105,418.0787311583312,-26.945502870566628,28783.0009767377,29601.014433596534,Tourism
ARG,58T60,12.712857277462213,206.5221764522042,167.14242560765786,-19.06804950492088,11327.11528629273,11758.668530041505,Media
ARG,61,14.227231877901254,181.54609151750955,147.72099027320948,-18.631687943024517,13495.246415307818,13908.272358009093,Telecom
ARG,62T63,12.249738448820674,181.12402700288874,147.48629374542827,-18.57165712030242,3428.6446339630616,3587.3261132725934,IT
ARG,64T66,13.831174837738793,121.35704185974963,102.02326932683118,-15.931314933716152,34559.60940467342,35193.21314474119,"Finance, insurance"
ARG,68,9.890066356516158,69.69826808388335,58.0598009127147,-16.69835921483947,20727.869016261346,21360.03256903181,Real estate
ARG,69T75,16.857078720630096,165.49997057604017,136.17539439646805,-17.718780297969133,25627.216148151936,26299.891997022423,R&D
