country,GDP change from climate damage,Real income change
ARG,-2.59297563943877,-0.9339939252246694
AUS,-0.7764372131924626,-0.9150712176303841
AUT,-0.5387611074628946,0.5652121543614896
BEL,-0.25108691008763045,0.33286149909824303
BGR,-1.8281704244720351,0.19445085336474222
BRA,-3.3009860232986554,-1.6505373021537366
BRN,-3.9396579227022133,-5.468318006144074
CAN,-0.839717892636886,-0.7608513486495525
CHE,-0.3530141688540595,0.9781327076004089
CHL,-1.0911389695078348,0.7552546157842528
CHN,-1.333838343173639,-0.9802840467756226
COL,-3.948858372954888,-1.431180575097514
CRI,-2.3560634789160426,0.05325452411524623
CYP,-1.6319564293793682,-0.6745465533391553
CZE,-0.7790123694666192,0.3533262337250562
DEU,-0.44948732980954537,0.5513790239508864
DNK,-0.3941055221017262,0.3781346859495329
ESP,-0.8813744073105111,0.4157006885896948
EST,-0.6382062801002185,-1.2904181601293203
FIN,-0.6509610431970675,0.06056392942592481
FRA,-0.7170960626007672,-0.003731296960012287
GBR,-0.5049678948048258,-0.24736661314084074
GRC,-1.0297078049166861,0.2339343939867291
HRV,-1.700866158341742,-0.36244744406268126
HUN,-0.7106625681272719,0.06857110246960474
IDN,-1.7612069680286007,-3.1224813869762187
IND,-6.627139157278283,-1.6584871516131443
IRL,-0.2361967480777894,2.4308684532401372
ISL,-0.29176244511044996,0.09409098152011097
ISR,-1.6315805802627992,0.1785616656565452
ITA,-0.6585292888609182,0.49391523177253305
JPN,-0.511091501056458,0.05286600263829655
KAZ,-3.0690734236197943,-4.4125375609573325
KHM,-3.7193934539493934,-7.203834753814647
KOR,-0.5481846385297642,0.8446153353324206
LAO,-3.1842068047006675,-5.139185974211387
LTU,-1.3663757906170666,0.14608768523483207
LVA,-1.06448254707495,-0.35547844441356347
MAR,-3.212522563395609,-1.1526458119632537
MEX,-4.045294653822815,-1.0064910109952336
MLT,-14.60507822158702,0.9005359369058823
MMR,-2.5734702954980158,-7.253184076840768
NLD,-0.4606720251948458,0.8593834918744676
NOR,-0.569383077727526,-0.31652103905823026
NZL,-0.3924010534443401,-0.1628665279324082
PER,-3.2015588321696145,-1.140173255376837
PHL,-2.8749588455765487,-1.2617215594329423
POL,-0.8222656583481595,-0.404749725452902
PRT,-0.6202174565193063,0.11512491804255376
ROU,-1.1718891273284908,-0.4173893882445867
ROW,-0.0449724184829497,-2.701429640429737
RUS,-1.9573618549704959,-3.368556803451355
SAU,-7.719577617184921,-4.119293845877408
SGP,-1.6053613145869035,0.38994706773837606
SVK,-0.8118990077141598,0.21046022087742244
SVN,-0.794292821991739,0.22149576789398395
SWE,-0.6221519656325701,0.20985006801004147
THA,-2.1570432732271954,0.3277731958960288
TUN,-4.789545976465677,-1.508252921072227
TUR,-4.089787169157097,-0.713990332441341
TWN,-31.78925458420086,0.9773548140874482
USA,-1.0425548253421992,-0.3248747208295555
VNM,-2.0206191907712463,-1.9571163214464349
ZAF,-3.2043261792091333,-3.049021323758666
