,Standard deviation welfare distribution,Total transfer needed,Transfer from Global North to Global South
Baseline solution,0.018529153588507173,,
Fair tax,5.034362669476515e-09,292047.24383355194,216713.2615103991
Polluter pay,0.006110912169422528,276395.2439670978,228217.61763820003
