country,value
ARG,1167.831136975443
AUS,4057.897120121678
AUT,-3367.4134777329095
BEL,-5568.842494078271
BGR,-1196.5746108905346
BRA,19543.793766380266
BRN,389.9498500294913
CAN,-680.4817590664472
CHE,-5126.454229415517
CHL,-2926.7185848351783
CHN,62123.15049426856
COL,3034.19841656774
CRI,-92.78016469340434
CYP,40.71083927143337
CZE,-3866.8351421671123
DEU,-40278.74874966696
DNK,-2495.3084032729307
ESP,-7999.417164887618
EST,-147.43710407284448
FIN,-1178.8576610375842
FRA,-11391.011708237294
GBR,-17830.72806402065
GRC,-1568.5913555019574
HRV,-125.22044243781396
HUN,-1432.348893304763
IDN,24967.360858343196
IND,29372.762310733142
IRL,-5593.320152072579
ISL,-107.35268196620001
ISR,-883.1625136425847
ITA,-13868.729818894044
JPN,-19961.754895167018
KAZ,598.9903353160324
KHM,1710.792314530068
KOR,-13822.16867126419
LAO,862.5397478338887
LTU,-473.0309928823417
LVA,-178.85118527726826
MAR,750.940241125616
MEX,4175.328494302243
MLT,-74.00196108817632
MMR,4572.170915683761
NLD,-8336.18605580522
NOR,27.527760588345195
NZL,-256.2267223600011
PER,1753.774222821525
PHL,3361.502957742482
POL,-5809.672583241427
PRT,-925.4243123669954
ROU,-1751.9575145136998
ROW,73782.76638473311
RUS,2088.6100610859935
SAU,16641.88860907873
SGP,-3892.8867850707966
SVK,-1162.4447097878335
SVN,-283.07646402196264
SWE,-2314.42206636738
THA,-3001.2822106294784
TUN,331.7160483341648
TUR,1768.8748355391124
TWN,-5627.656490078393
USA,-67511.98883914386
VNM,3345.7739610100402
ZAF,2638.5159525451804
